customer_id,purchase_frequency,total_spend,total_spend_std,total_spend_min,total_spend_max,avg_price,price_std,price_min,price_max,avg_quantity,quantity_std,total_quantity,unique_products,unique_categories,last_purchase_date_max,sale_date_min,sale_date_max,age,gender,region,segment,tenure_months,churn,num_purchases,recency_days,days_since_first_purchase,customer_lifetime_days,spend_per_month,spend_per_visit,average_purchase_value,monetary_per_month,purchase_intensity,category_diversity_ratio,avg_items_per_purchase,price_sensitivity,spending_consistency,purchase_value_range,days_between_purchases,purchase_regularity,recent_activity_ratio,customer_value_score,feedback_sentiment,sentiment_encoded,persona,pca1_personas,pca2_personas,persona_type,persona_type_detailed,final_persona_type,classification_confidence,alternative_persona
CUST00001,2,249000,142128.46301849606,24000,225000,28500.0,23334.52377915607,12000,45000,3.5,2.1213203435596424,7,2,2,2023-07-18,2023-05-19,2023-06-29,43,Female,South,Corporate,50,0,2,185,226,41,4980.0,124500.0,124500.0,4980.0,0.00881057268722467,1.0,3.5,0.8187552203212656,0.6366194832213605,201000,20.5,0.046511627906976744,0.16216216216216217,99654.6,0.28595,2,1,-1.7875340007194371,3.736478974560439,Champions,Potential Loyalists,Champions,Medium,Potential Loyalists
CUST00002,4,84300,14960.69851310426,300,36000,8025.0,5609.738555999439,100,12000,2.75,0.5,11,4,3,2023-06-27,2022-01-19,2023-04-03,22,Male,East,Corporate,37,1,4,272,711,439,2278.3783783783783,21075.0,21075.0,2278.3783783783783,0.0056179775280898875,0.75,2.75,0.699032841869089,0.8492787302808557,35700,109.75,0.009029345372460496,0.11029411764705882,33749.1,0.5662499999999999,0,3,-1.4944231862807822,-1.870304779384971,Potential Loyalists,Potential Loyalists,Potential Loyalists,High,
CUST00003,4,130150,21719.936118690588,150,45000,9512.5,7119.266699129436,50,15000,3.5,1.0,14,3,3,2023-02-06,2020-07-18,2023-05-03,59,Female,North,Corporate,18,0,4,242,1261,1019,7230.555555555556,32537.5,32537.5,7230.555555555556,0.003169572107765452,1.0,3.5,0.7484117423526345,0.8569833064148005,44850,254.75,0.0039100684261974585,0.12396694214876033,52098.1,0.276875,2,3,-0.7498955818042371,-1.9035151373770867,Potential Loyalists,Potential Loyalists,Potential Loyalists,High,
CUST00004,5,349000,82414.80449530897,9000,210000,33400.0,33612.4976757158,3000,70000,2.4,1.3416407864998738,12,4,2,2023-11-28,2020-03-26,2022-10-02,29,Male,East,Consumer,3,0,5,455,1375,920,116333.33333333333,69800.0,69800.0,116333.33333333333,0.003633720930232558,0.5,2.4,1.0063622058597546,0.808966211551961,201000,184.0,0.005405405405405406,0.06593406593406594,139601.5,0.30872,2,1,2.025960439188667,1.0540387020316706,Champions,Loyal Customers,Champions,Medium,Loyal Customers
CUST00005,1,8000,49373.730996350685,8000,8000,8000.0,17677.66952966369,8000,8000,1.0,1.3662601021279464,1,1,1,2023-04-05,2021-10-11,2021-10-11,53,Female,West,Corporate,45,0,1,811,811,0,177.77777777777777,8000.0,8000.0,177.77777777777777,0.0012315270935960591,1.0,1.0,1.002462093863965,0.8026357929251943,0,0.0,1.0,0.036991368680641186,3200.3,-0.4767,0,2,-5.9238753421545125,0.7638934717549499,At Risk,At Risk,At Risk,High,
CUST00006,5,176500,33052.23139214658,500,90000,15220.0,17462.58858245249,100,45000,3.2,1.3038404810405297,16,4,3,2023-06-21,2020-06-22,2023-05-29,45,Female,North,Corporate,23,0,5,216,1287,1071,7673.913043478261,35300.0,35300.0,7673.913043478261,0.0038819875776397515,0.75,3.2,1.147344847730124,0.8422721095711259,89500,214.2,0.004646840148698885,0.1388888888888889,70646.2,0.06949999999999999,1,0,0.7099370985938094,-1.854654688676358,Loyal Customers,Potential Loyalists,Loyal Customers,Medium,Potential Loyalists
CUST00007,3,450,86.60254037844386,100,250,66.66666666666667,28.867513459481287,50,100,2.6666666666666665,2.0816659994661326,8,2,1,2023-01-06,2020-01-11,2023-07-20,44,Male,East,Consumer,28,0,3,164,1450,1286,16.071428571428573,150.0,150.0,16.071428571428573,0.002067539627842867,0.5,2.6666666666666665,0.4330127018922193,0.8386095222035911,150,428.6666666666667,0.0023273855702094647,0.18292682926829268,241.2,0.2932333333333333,2,3,-2.2300170581105587,-2.648513931651214,Potential Loyalists,At Risk,Potential Loyalists,Medium,At Risk
CUST00008,4,410200,85701.08906348079,200,210000,30012.5,29137.61529363719,50,70000,3.75,0.5,15,3,2,2023-11-16,2020-09-04,2023-02-14,28,Female,East,Consumer,22,1,4,320,1213,893,18645.454545454544,102550.0,102550.0,18645.454545454544,0.0032948929159802307,0.6666666666666666,3.75,0.9708493225701688,0.827181083176629,209800,223.25,0.004459308807134894,0.09375,164094.7,0.5333749999999999,2,1,1.7444141404056783,1.9254566654616103,Champions,Loyal Customers,Champions,Medium,Loyal Customers
CUST00009,4,234000,36455.45226711637,24000,90000,29250.0,18227.726133558186,12000,45000,2.0,0.0,8,3,2,2023-08-10,2022-03-05,2023-07-21,61,Female,South,Corporate,52,0,4,163,666,503,4500.0,58500.0,58500.0,4500.0,0.005997001499250375,0.6666666666666666,2.0,0.6231701242242115,0.865207183062773,66000,125.75,0.007889546351084813,0.18404907975460122,93661.8,0.385325,2,3,-0.7475702921572451,0.5537413312725744,Potential Loyalists,Potential Loyalists,Potential Loyalists,High,
CUST00010,4,205500,64723.94585210846,200,135000,28800.0,34675.928250012286,100,70000,2.25,0.9574271077563381,9,3,2,2023-04-17,2020-02-11,2021-07-13,36,Female,West,Small Business,15,1,4,901,1419,518,13700.0,51375.0,51375.0,13700.0,0.0028169014084507044,0.6666666666666666,2.25,1.20402528645876,0.7604803465954442,134800,129.5,0.007662835249042145,0.033296337402885685,82201.2,0.244,2,1,-0.39088296896384445,0.9689531179203019,Champions,Potential Loyalists,Champions,Medium,Potential Loyalists
