price,quantity,age,tenure_months,category_encoded,region_encoded,gender_encoded,year,month,quarter,day_of_week,day_of_month,is_weekend,is_month_end,is_month_start,is_holiday_season,is_summer,is_spring,customer_total_purchases,customer_avg_quantity,customer_total_spent,customer_avg_spent,product_popularity,product_avg_price,product_total_sales,region_avg_sales,region_total_sales,price_vs_avg,discount_indicator,segment_avg_sales,customer_rolling_avg_3,customer_rolling_avg_7,total_value
12000,2,40,37,1,3,0,2020,1,1,1,7,0,0,0,1,0,0,4,2.75,138000,34500.0,787,12000.0,28200000,57156.431113370614,112426700,1.0,0,58039.03816199377,24000.0,24000.0,24000
45000,2,50,44,0,3,0,2023,11,4,4,10,0,0,0,0,0,0,6,2.1666666666666665,400050,66675.0,799,45000.0,108450000,57156.431113370614,112426700,1.0,0,58106.99348645869,31016.666666666668,73610.0,90000
12000,1,41,56,0,3,1,2023,10,4,2,18,0,0,0,0,0,0,5,2.4,430050,86010.0,801,12000.0,28596000,57156.431113370614,112426700,1.0,0,57205.288270377736,20016.666666666668,86010.0,12000
12000,4,60,52,1,3,0,2023,9,3,2,13,0,0,0,0,0,0,9,2.888888888888889,342300,38033.333333333336,787,12000.0,28200000,57156.431113370614,112426700,1.0,0,57205.288270377736,17066.666666666668,33328.57142857143,48000
50,5,51,43,2,2,0,2022,10,4,5,22,1,0,0,0,0,0,4,3.5,234550,58637.5,831,50.0,121850,58093.500252908445,114850850,1.0,0,57205.288270377736,8183.333333333333,8183.333333333333,250
15000,1,57,59,0,2,1,2022,5,2,5,7,1,0,0,0,0,1,6,1.5,126200,21033.333333333332,801,15000.0,35400000,58093.500252908445,114850850,1.0,0,57205.288270377736,28000.0,19240.0,15000
45000,3,35,35,0,0,1,2020,4,2,6,19,1,0,0,0,0,1,5,3.2,417400,83480.0,799,45000.0,108450000,56760.083064143975,122999100,1.0,0,58106.99348645869,135000.0,135000.0,135000
25000,2,53,11,0,0,1,2022,5,2,0,16,0,0,0,0,0,1,2,2.5,86000,43000.0,783,25000.0,59325000,56760.083064143975,122999100,1.0,0,57205.288270377736,43000.0,43000.0,50000
12000,4,61,55,1,0,1,2021,8,3,5,21,1,0,0,0,1,0,2,2.5,63000,31500.0,787,12000.0,28200000,56760.083064143975,122999100,1.0,0,58106.99348645869,48000.0,48000.0,48000
25000,5,55,1,0,3,0,2022,3,1,5,12,1,0,0,0,0,1,8,2.75,175800,21975.0,783,25000.0,59325000,57156.431113370614,112426700,1.0,0,58039.03816199377,58383.333333333336,29250.0,125000
100,1,54,31,2,1,0,2023,11,4,6,5,1,0,1,0,0,0,9,3.111111111111111,679800,75533.33333333333,790,100.0,241800,59363.15510852303,112137000,1.0,0,58106.99348645869,88366.66666666667,93514.28571428571,100
12000,1,28,20,1,0,1,2020,2,1,4,28,0,1,0,0,0,0,4,2.25,206000,51500.0,787,12000.0,28200000,56760.083064143975,122999100,1.0,0,57205.288270377736,12000.0,12000.0,12000
15000,4,45,44,0,2,0,2022,10,4,0,31,0,1,0,0,0,0,4,3.25,336000,84000.0,801,15000.0,35400000,58093.500252908445,114850850,1.0,0,57205.288270377736,100000.0,100000.0,60000
100,4,49,9,2,1,1,2021,3,1,3,18,0,0,0,0,0,1,5,3.0,303600,60720.0,790,100.0,241800,59363.15510852303,112137000,1.0,0,58039.03816199377,112700.0,112700.0,400
12000,4,49,41,1,0,0,2020,12,4,2,23,0,0,0,1,0,0,7,3.142857142857143,519200,74171.42857142857,787,12000.0,28200000,56760.083064143975,122999100,1.0,0,58106.99348645869,42000.0,42000.0,48000
12000,1,32,14,0,2,0,2022,10,4,4,7,0,0,0,0,0,0,3,2.6666666666666665,136000,45333.333333333336,801,12000.0,28596000,58093.500252908445,114850850,1.0,0,58039.03816199377,56000.0,56000.0,12000
50,3,46,44,2,0,0,2020,8,3,4,28,0,1,0,0,1,0,3,3.0,111150,37050.0,831,50.0,121850,56760.083064143975,122999100,1.0,0,58039.03816199377,37575.0,37575.0,150
15000,4,48,25,0,1,0,2022,8,3,5,20,1,0,0,0,1,0,7,3.2857142857142856,531450,75921.42857142857,801,15000.0,35400000,59363.15510852303,112137000,1.0,0,58106.99348645869,142500.0,142500.0,60000
12000,5,25,41,0,0,1,2020,12,4,5,5,1,0,1,1,0,0,6,3.3333333333333335,394000,65666.66666666667,801,12000.0,28596000,56760.083064143975,122999100,1.0,0,58106.99348645869,60000.0,60000.0,60000
12000,2,56,26,0,3,1,2023,6,2,4,9,0,0,0,0,1,0,5,3.0,123600,24720.0,801,12000.0,28596000,57156.431113370614,112426700,1.0,0,57205.288270377736,41000.0,24720.0,24000
100,5,52,40,2,0,1,2022,4,2,1,5,0,0,1,0,0,1,6,3.1666666666666665,237500,39583.333333333336,790,100.0,241800,56760.083064143975,122999100,1.0,0,57205.288270377736,31833.333333333332,31833.333333333332,500
