customer_id,cluster,purchase_frequency,total_spend,avg_price,unique_products,unique_categories,recency_days,age,tenure_months,num_purchases,spend_per_visit,average_purchase_value,days_since_first_purchase,monetary_per_month,purchase_intensity,category_diversity_ratio,avg_items_per_purchase,price_sensitivity,spending_consistency,purchase_value_range,days_between_purchases,purchase_regularity,recent_activity_ratio,customer_value_score,price_std,total_quantity,customer_lifetime_days,feedback_sentiment,sentiment_encoded,gender,region,feedback_sentiment,sentiment_encoded
CUST00001,0,2,249000,28500.0,2,2,185,43,50,2,124500.0,124500.0,226,4980.0,0.00881057268722467,1.0,3.5,0.8187552203212656,0.6366194832213605,201000,20.5,0.046511627906976744,0.16216216216216217,99654.6,23334.52377915607,7,41,0.28595,2,Female,South,0.28595,2
CUST00002,0,4,84300,8025.0,4,3,272,22,37,4,21075.0,21075.0,711,2278.3783783783783,0.0056179775280898875,0.75,2.75,0.699032841869089,0.8492787302808557,35700,109.75,0.009029345372460496,0.11029411764705882,33749.1,5609.738555999439,11,439,0.5662499999999999,0,Male,East,0.5662499999999999,0
CUST00003,0,4,130150,9512.5,3,3,242,59,18,4,32537.5,32537.5,1261,7230.555555555556,0.003169572107765452,1.0,3.5,0.7484117423526345,0.8569833064148005,44850,254.75,0.0039100684261974585,0.12396694214876033,52098.1,7119.266699129436,14,1019,0.276875,2,Female,North,0.276875,2
CUST00004,1,5,349000,33400.0,4,2,455,29,3,5,69800.0,69800.0,1375,116333.33333333333,0.003633720930232558,0.5,2.4,1.0063622058597546,0.808966211551961,201000,184.0,0.005405405405405406,0.06593406593406594,139601.5,33612.4976757158,12,920,0.30872,2,Male,East,0.30872,2
CUST00005,0,1,8000,8000.0,1,1,811,53,45,1,8000.0,8000.0,811,177.77777777777777,0.0012315270935960591,1.0,1.0,1.002462093863965,0.8026357929251943,0,0.0,1.0,0.036991368680641186,3200.3,17677.66952966369,1,0,-0.4767,0,Female,West,-0.4767,0
CUST00006,1,5,176500,15220.0,4,3,216,45,23,5,35300.0,35300.0,1287,7673.913043478261,0.0038819875776397515,0.75,3.2,1.147344847730124,0.8422721095711259,89500,214.2,0.004646840148698885,0.1388888888888889,70646.2,17462.58858245249,16,1071,0.06949999999999999,1,Female,North,0.06949999999999999,1
CUST00007,0,3,450,66.66666666666667,2,1,164,44,28,3,150.0,150.0,1450,16.071428571428573,0.002067539627842867,0.5,2.6666666666666665,0.4330127018922193,0.8386095222035911,150,428.6666666666667,0.0023273855702094647,0.18292682926829268,241.2,28.867513459481287,8,1286,0.2932333333333333,2,Male,East,0.2932333333333333,2
CUST00008,1,4,410200,30012.5,3,2,320,28,22,4,102550.0,102550.0,1213,18645.454545454544,0.0032948929159802307,0.6666666666666666,3.75,0.9708493225701688,0.827181083176629,209800,223.25,0.004459308807134894,0.09375,164094.7,29137.61529363719,15,893,0.5333749999999999,2,Female,East,0.5333749999999999,2
CUST00009,0,4,234000,29250.0,3,2,163,61,52,4,58500.0,58500.0,666,4500.0,0.005997001499250375,0.6666666666666666,2.0,0.6231701242242115,0.865207183062773,66000,125.75,0.007889546351084813,0.18404907975460122,93661.8,18227.726133558186,8,503,0.385325,2,Female,South,0.385325,2
CUST00010,0,4,205500,28800.0,3,2,901,36,15,4,51375.0,51375.0,1419,13700.0,0.0028169014084507044,0.6666666666666666,2.25,1.20402528645876,0.7604803465954442,134800,129.5,0.007662835249042145,0.033296337402885685,82201.2,34675.928250012286,9,518,0.244,2,Female,West,0.244,2
CUST00011,1,6,136550,7358.333333333333,5,3,46,46,1,6,22758.333333333332,22758.333333333332,1400,136550.0,0.004282655246252677,0.6,3.1666666666666665,0.7950857091030961,0.8822531493684636,39950,225.66666666666666,0.004411764705882353,0.6521739130434783,54717.5,5850.505676150282,19,1354,0.3395333333333333,2,Male,South,0.3395333333333333,2
CUST00012,1,4,219400,26775.0,4,2,582,34,51,4,54850.0,54850.0,1046,4301.9607843137255,0.0038204393505253103,0.5,3.0,1.1412953206474112,0.7996327245490779,124600,116.0,0.008547008547008548,0.05154639175257732,87761.2,30558.182210334435,12,464,0.047599999999999976,1,Male,North,0.047599999999999976,1
